SCENE_ID,REASON
LT05_021033_20010108,Cloud/Snow
LE07_022032_20010107,Cloud
LE07_022032_20020227,Cloud
LE07_022032_20030926,Cloud/Snow/Cirrus
LE07_022032_20051220,Snow
LT05_023032_20010106,Cloud/Snow
LT05_023032_20040216,Cloud/Snow
LT05_023032_20050117,Cloud/Snow
LE07_024028_20030212,Cloud/Snow
LT05_024028_20030204,Cloud/Snow
LT05_024028_20030220,Cloud/Snow
LE07_024028_20030228,Cloud/Snow
LE07_024028_20040215,Cloud/Snow
LE07_024028_20041215,Cloud/Snow
LE07_024028_20050116,Cloud/Snow
LT05_025028_20030331,Cloud/Snow
LT05_025028_20040113,Cloud/Snow
LT05_025028_20040129,Cloud/Snow
LT05_025028_20040214,Cloud/Snow
LT05_025028_20041214,Cloud/Snow
LE07_025028_20041222,Cloud/Snow
LE07_025028_20050107,Cloud/Snow
LT05_025028_20050115,Cloud/Snow
LT05_025028_20050216,Cloud/Snow
LE07_025028_20050312,Cloud/Snow
LT05_025028_20050320,Cloud/Snow
LE07_025028_20051209,Cloud/Snow
LT05_026029_20050106,Cloud/Snow
LE07_026029_20050114,Cloud/Snow
LT05_026029_20050122,Cloud/Snow
LT05_026029_20050223,Cloud/Snow
LC08_026037_20190521,Cloud
LT05_027029_20041228,Cloud/Snow
LT05_027031_20050113,Snow
LE07_028031_20040211,Snow
#LC09_042034_20220419,Cloud
LT05_044028_20000615,No TOA image
LT05_044029_20000615,No TOA image
LC08_045034_20211006,Cloud
