SCENE_ID,REASON
LC08_197022_20250706,Cloud
LC09_197020_20250220,Cloud
LC09_197020_20240305,Cloud
LC09_198020_20250416,Cloud/Shadow
LC08_197022_20240313,Cloud/Shadow
LC09_197022_20240913,Cloud
LC09_197020_20250409,Cloud/Cirrus
LC09_194021_20250623,Cloud/Missing
LC09_196021_20240805,Cloud
LC08_194022_20240425,Cloud
LC08_198020_20250307,Cloud
LC08_198021_20250307,Cloud
LC08_198020_20240507,Cloud
LC09_198020_20240702,Cloud
LC08_197020_20240414,Cloud
LC09_198021_20240616,Cloud
LC09_195022_20250801,Cloud
LC09_198021_20250822,Cloud
LC09_198020_20250211,Cloud/Snow
LC09_197020_20240609,Cloud
LC08_194022_20250802,Cloud
LC08_198020_20241030,Cloud
LC09_198020_20240413,Cloud
LC09_196022_20240330,Cloud/Cirrus
LC08_196022_20241016,Cloud/Cirrus
