SCENE_ID,REASON
LT05_021033_20010108,Cloud/Snow
LT05_021039_19920405,Cloud/Cirrus
LT05_021040_19920405,Cloud
LC08_021040_20150216,Cloud
LC08_021040_20150405,Cloud
LC08_021040_20150608,Cloud
LC08_021040_20151201,Cloud
LE07_021040_20160314,Cloud
LC08_021040_20160509,Cloud
LC08_021040_20160525,Cloud
LC08_021040_20160610,Cloud
LC08_021040_20160914,Cloud
LC08_021040_20161016,Cloud
LC08_021040_20170120,Cloud
LC08_021040_20170205,Cloud
LC08_021040_20170325,Cloud
LC08_021040_20170426,Cloud
LE07_021040_20170520,Cloud
LC08_021040_20170715,Cloud
LC08_021040_20170731,Cloud
LE07_021040_20171027,Cloud
LE07_021040_20171112,Cloud
LC08_021040_20171120,Cloud
LC08_021040_20180107,Cloud
LC08_021040_20180208,Cloud
LC08_021040_20180328,Cloud
LC08_021040_20180819,Cloud
LC08_021040_20180904,Cloud
LE07_021040_20180928,Cloud
LC08_021040_20181022,Cloud
LC08_021040_20181107,Cloud
LE07_021040_20181201,Cloud
LC08_021040_20181225,Cloud
LE07_021040_20190203,Cloud
LC08_021040_20190211,Cloud
LC08_021040_20190923,Cloud
LC08_021040_20191126,Cloud
LC08_021040_20200113,Cloud
LC08_021040_20200129,Cloud
LC08_021040_20200301,Cloud
LC08_021040_20200504,Cloud
LC08_021040_20200723,Cloud
LC08_021040_20200808,Cloud
LC08_021040_20200824,Cloud
LC08_021040_20200925,Cloud
LC08_021040_20201027,Cloud
LC08_021040_20210131,Cloud
LE07_021040_20210429,Cloud
LC08_021040_20210726,Cloud
LC08_021040_20210811,Cloud
LE07_021040_20210920,Cloud
LC08_021040_20211030,Cloud
LC09_021040_20211209,Cloud
LE07_021040_20211209,Cloud
LC08_021040_20211217,Cloud
LC09_021040_20220211,Cloud
LE07_021040_20220211,Cloud
LC08_021040_20220219,Cloud
LE07_021040_20220315,Cloud
LC09_021040_20220416,Cloud
LC08_021040_20220627,Cloud
LE07_021040_20220717,Ocean
LC08_021040_20220814,Cloud
LC09_021040_20220822,Cloud
LC08_021040_20221017,Cloud
LC09_021040_20221025,Cloud
LC08_021040_20221204,Cloud
LC08_021040_20230121,Cloud
LE07_021040_20230125,Cloud
LE07_021040_20230130,Cloud
LC08_021040_20230326,Cloud
LE07_021040_20230327,Cloud
LE07_021040_20230413,Cloud
LC09_021040_20230505,Cloud
LE07_021040_20230510,Cloud
LC09_021040_20230606,Cloud
LC09_021040_20230622,Cloud
LC08_021040_20230902,Cloud
LC08_021040_20231121,Cloud
LC08_021040_20231207,Cloud
LC09_021040_20240304,Cloud
LC09_021040_20240320,Cloud
LE07_022032_20010107,Cloud/Snow
LE07_022032_20020227,Cloud/Snow
LE07_022032_20030926,Cloud/Snow/Cirrus
LE07_022032_20051220,Snow
LE07_022034_20150114,Cloud
LE07_022034_20160422,Cloud
LC08_022034_20160601,Cloud/Cirrus
LC08_022034_20171010,Cloud/Missing
LC08_022034_20171111,Cloud
LE07_022034_20180530,Cloud
LC09_022034_20220525,Cloud
LC08_022034_20220821,Cloud
LE07_022035_20160202,Cloud
LC08_022035_20170706,Cloud
LC08_022035_20180810,Cloud
LE07_022035_20180818,Cloud
LC08_022035_20190218,Cloud/Cirrus
LC08_022035_20201018,Cloud/Missing
LE07_022035_20201213,Cloud
LC09_022035_20230715,Cloud
LT05_022036_19980515,Cloud/Cirrus/Smoke?
LC08_022036_20150530,Cloud
