SCENE_ID,REASON
LE07_046033_20000402,Error
LT05_044028_20000615,Error
LT05_044029_20000615,Error
LT05_041037_20001101,Error
LT05_038038_20010304,Error
LE07_046032_20010624,Error
LT05_041037_20011206,Error
LE07_046032_20020526,Error
LT05_046033_20020705,Error
LE07_048026_20020929,Error
LE07_046032_20030801,Error
LE07_046032_20031121,Error
LT05_041037_20031126,Error
LT05_038038_20031207,Error
LT05_041037_20031228,Error
LT05_041037_20040113,Error
LE07_041037_20040121,Error
LE07_046032_20040328,Error
LT05_041037_20040402,Error
LT05_046032_20040624,Error
LE07_048026_20041004,Error
LT05_048026_20050625,Error
LE07_046032_20051126,Error
LT05_038038_20060214,Error
LT05_041037_20061102,Error
LT05_038038_20061215,Error
LT05_048026_20070428,Error
LE07_046032_20081204,Error
LT05_038038_20081220,Error
LT05_013033_20090122,Error
LE07_013032_20090130,Error
LT05_012032_20090131,Error
LE07_013034_20090303,Error
LT05_010027_20090509,Error
LT05_010027_20090525,Error
LE07_010027_20090602,Error
LE07_010028_20090602,Error
LE07_010027_20090618,Error
LE07_010029_20090618,Error
LE07_010027_20090720,Error
LE07_010029_20090720,Error
LT05_010027_20090728,Error
LT05_010028_20090728,Error
LT05_011031_20090804,Error
LE07_010027_20090906,Error
LT05_010027_20090914,Error
LT05_010028_20090914,Error
LE07_010027_20090922,Error
LE07_010028_20090922,Error
LE07_011031_20090929,Error
LT05_010028_20090930,Error
LT05_010029_20090930,Error
LT05_010027_20091016,Error
LT05_010028_20091016,Error
LT05_012032_20091030,Error
LE07_011031_20091031,Error
LE07_012032_20091107,Error
LE07_010027_20091109,Error
LE07_010028_20091109,Error
LT05_010027_20091117,Error
LT05_010028_20091117,Error
LE07_046032_20091207,Error
LE07_010029_20100213,Error
LE07_011030_20100220,Error
LE07_011031_20100220,Error
LE07_041037_20100222,Error
LE07_013033_20100306,Error
LE07_013034_20100306,Error
LT05_010029_20100309,Error
LE07_013034_20100407,Error
LE07_010027_20100504,Error
LE07_010028_20100504,Error
LE07_010027_20100520,Error
LT05_010028_20100528,Error
LT05_010027_20100613,Error
LE07_010027_20100621,Error
LT05_016040_20100709,Error
LT05_010027_20100715,Error
LE07_010027_20100723,Error
LE07_013034_20100728,Error
LT05_010027_20100731,Error
LE07_010027_20100808,Error
LE07_048026_20100818,Error
LE07_010027_20100824,Error
LE07_010028_20100824,Error
LE07_010029_20100824,Error
LT05_010027_20100901,Error
LT05_010027_20100917,Error
LT05_010027_20101003,Error
LT05_010028_20101003,Error
LT05_010029_20101003,Error
LE07_010028_20101011,Error
LT05_010027_20101019,Error
LT05_013033_20101024,Error
LE07_011030_20101103,Error
LE07_010027_20101112,Error
LE07_025039_20101121,Error
LE07_026041_20110216,Error
LT05_010027_20110429,Error
LT05_010028_20110429,Error
LT05_011027_20110607,Error
LT05_010027_20110616,Error
LT05_047030_20110619,Error
LE07_010027_20110624,Error
LT05_010027_20110702,Error
LE07_010027_20110710,Error
LE07_013034_20110731,Error
LE07_012032_20110809,Error
LT05_010027_20110819,Error
LE07_010027_20110827,Error
LE07_010028_20110827,Error
LE07_010029_20110827,Error
LT05_010027_20110904,Error
LT05_011031_20110911,Error
LE07_010027_20110912,Error
LE07_013032_20110917,Error
LT05_010027_20110920,Error
LE07_010027_20110928,Error
LT05_010029_20111006,Error
LE07_012032_20111028,Error
LT05_010028_20111107,Error
LE07_010027_20111201,Error
LE07_048026_20120213,Error
LE07_010028_20120322,Error
LE07_012032_20120507,Error
LE07_010027_20120525,Error
LE07_010027_20120610,Error
LE07_010027_20120728,Error
LE07_010028_20120728,Error
LE07_010027_20120813,Error
LE07_010027_20120829,Error
LE07_010028_20120829,Error
LE07_010027_20120914,Error
LE07_021040_20120927,Error
LE07_021040_20121013,Error
LE07_013031_20121021,Error
LE07_010028_20121101,Error
LE07_010027_20121117,Error
LE07_010028_20121117,Error
LE07_024040_20121119,Error
LC08_010027_20130418,Error
LC08_010027_20130504,Error
LC08_010028_20130504,Error
LE07_010027_20130528,Error
LC08_046032_20130601,Error
LC08_010028_20130605,Error
LC08_010027_20130621,Error
LC08_012032_20130705,Error
LC08_010027_20130707,Error
LC08_010028_20130707,Error
LE07_010027_20130731,Error
LE07_010029_20130731,Error
LE07_013032_20130805,Error
LE07_010027_20130816,Error
LC08_016040_20130818,Error
LC08_010027_20130824,Error
LC08_010027_20130909,Error
LE07_010027_20130917,Error
LC08_024040_20130927,Error
LE07_010027_20131003,Error
LE07_010028_20131003,Error
LC08_010027_20131011,Error
LE07_010027_20131019,Error
LC08_015041_20131030,Error
LE07_010027_20131104,Error
LE07_010028_20131104,Error
LE07_013034_20131109,Error
LE07_048026_20131114,Error
LE07_010027_20131120,Error
LE07_010028_20131120,Error
LC08_027042_20131205,Error
LE07_013034_20131211,Error
LE07_013034_20131227,Error
LC08_012032_20140113,Error
LE07_023040_20140408,Error
LC08_048026_20140501,Error
LC08_010027_20140507,Error
LC08_010028_20140507,Error
LC08_021040_20140520,Error
LE07_010027_20140531,Error
LC08_021040_20140605,Error
LE07_011031_20140607,Error
LC08_010027_20140608,Error
LC08_010028_20140608,Error
LE07_010028_20140616,Error
LC08_010027_20140624,Error
LC08_010028_20140624,Error
LE07_010027_20140702,Error
LE07_010028_20140702,Error
LC08_010027_20140710,Error
LE07_010027_20140718,Error
LE07_015040_20140721,Error
LC08_010027_20140726,Error
LC08_010028_20140726,Error
LE07_010027_20140803,Error
LC08_012032_20140809,Error
LC08_010027_20140811,Error
LC08_010029_20140811,Error
LC08_011030_20140818,Error
LE07_010028_20140819,Error
LE07_010029_20140819,Error
LC08_010028_20140827,Error
LE07_010027_20140904,Error
LC08_010027_20140912,Error
LC08_010028_20140912,Error
LC08_027042_20140919,Error
LC08_010027_20140928,Error
LE07_010027_20141006,Error
LE07_010028_20141006,Error
LC08_010027_20141014,Error
LE07_010027_20141022,Error
LE07_024040_20141024,Error
LC08_010027_20141030,Error
LC08_010028_20141030,Error
LE07_024040_20141109,Error
LC08_048026_20141109,Error
LE07_010028_20141123,Error
LC08_012032_20141215,Error
LC08_038038_20141221,Error
LC08_010028_20150102,Error
LE07_041037_20150204,Error
LE07_010028_20150518,Error
LE07_011030_20150610,Error
LE07_010027_20150806,Error
LE07_011030_20150813,Error
LC08_010027_20150814,Error
LC08_013033_20150819,Error
LC08_010028_20150830,Error
LC08_011031_20150906,Error
LC08_010027_20150915,Error
LC08_010029_20151102,Error
LC08_021040_20151115,Error
LE07_021040_20151123,Error
LE07_012032_20151210,Error
LC08_046033_20151216,Error
LE07_041037_20151221,Error
LC08_027042_20151227,Error
LC08_048026_20151230,Error
LE07_013034_20160102,Error
LC08_037038_20160102,Error
LC08_011031_20160112,Error
LC08_021040_20160118,Error
LC08_012032_20160119,Error
LE07_011031_20160120,Error
LC08_011030_20160128,Error
LC08_011031_20160128,Error
LC08_037038_20160203,Error
LE07_013031_20160219,Error
LC08_010028_20160222,Error
LE07_010028_20160301,Error
LC08_021040_20160322,Error
LE07_046032_20160329,Error
LE07_010027_20160418,Error
LE07_015040_20160421,Error
LE07_024040_20160506,Error
LC08_010027_20160512,Error
LC08_046032_20160524,Error
LE07_013034_20160525,Error
LC08_011027_20160706,Error
LC08_011031_20160706,Error
LC08_046033_20160711,Error
LC08_010027_20160715,Error
LC08_010028_20160715,Error
LE07_012032_20160721,Error
LE07_010027_20160723,Error
LC08_013032_20160805,Error
LC08_010027_20160816,Error
LE07_010027_20160824,Error
LE07_010029_20160909,Error
LC08_010027_20161003,Error
LC08_012032_20161017,Error
LC08_010027_20161019,Error
LE07_011030_20161119,Error
LC08_011031_20161213,Error
LC08_048027_20161216,Error
LC08_046033_20161218,Error
LE07_013034_20170309,Error
LC08_013032_20170317,Error
LE07_013034_20170410,Error
LE07_041037_20170414,Error
LE07_024040_20170423,Error
LC08_048026_20170525,Error
LC08_023040_20170526,Error
LE07_012032_20170622,Error
LE07_013034_20170715,Error
LC08_010027_20170718,Error
LE07_023040_20170721,Error
LE07_010027_20170726,Error
LE07_010029_20170726,Error
LC08_046032_20170730,Error
LC08_010028_20170803,Error
LE07_048026_20170805,Error
LE07_010027_20170811,Error
LE07_010028_20170811,Error
LC08_046033_20170815,Error
LC08_012032_20170817,Error
LE07_010027_20170912,Error
LC08_021040_20170917,Error
LC08_010027_20170920,Error
LC08_024040_20170922,Error
LE07_010027_20170928,Error
LC08_010027_20171006,Error
LC08_010028_20171006,Error
LC08_046033_20171018,Error
LC08_012032_20171020,Error
LC08_010029_20171022,Error
LC08_021040_20171104,Error
LE07_013034_20171120,Error
LC08_010027_20171123,Error
LC08_010028_20171123,Error
LC08_011031_20171130,Error
LC08_048026_20171203,Error
LC08_046032_20171205,Error
LC08_046033_20171205,Error
LE07_046032_20171213,Error
LE07_010028_20171217,Error
LE07_010029_20171217,Error
LC08_037038_20171222,Error
LE07_038038_20180106,Error
LE07_013034_20180107,Error
LC08_037038_20180107,Error
LC08_037038_20180123,Error
LC08_012032_20180124,Error
LC08_010028_20180126,Error
LC08_010029_20180126,Error
LE07_041037_20180127,Error
LC08_010028_20180227,Error
LC08_021040_20180312,Error
LE07_024040_20180325,Error
LE07_023040_20180403,Error
LE07_010028_20180424,Error
LC08_010027_20180502,Error
LE07_010027_20180510,Error
LC08_021040_20180515,Error
LC08_010027_20180518,Error
LE07_022040_20180530,Error
LC08_010027_20180603,Error
LE07_010027_20180611,Error
LC08_011031_20180626,Error
LE07_024040_20180629,Error
LE07_013034_20180702,Error
LC08_010027_20180705,Error
LE07_011031_20180720,Error
LE07_010027_20180729,Error
LE07_010028_20180729,Error
LC08_010027_20180806,Error
LE07_046033_20180826,Error
LC08_046032_20180903,Error
LC08_046033_20180903,Error
LE07_013034_20180904,Error
LC08_011031_20181016,Error
LE07_013034_20181022,Error
LC08_046032_20181106,Error
LE07_013034_20181107,Error
LE07_021040_20181115,Error
LC08_011031_20181117,Error
LC08_010029_20181212,Error
LE07_013034_20190110,Error
LC08_041034_20190122,Error
LC08_046032_20190125,Error
LC08_010029_20190129,Error
LE07_010029_20190206,Error
LC08_016038_20190208,Error
LE07_016039_20190216,Error
LC08_048026_20190224,Error
LE07_012032_20190308,Error
LC08_046033_20190314,Error
LE07_013034_20190416,Error
LC08_015040_20190422,Error
LE07_015040_20190430,Error
LC08_010027_20190505,Error
LC08_047030_20190508,Error
LE07_012032_20190511,Error
LE07_010027_20190513,Error
LE07_012032_20190612,Error
LC08_044035_20190620,Error
LC08_010027_20190622,Error
LC08_013033_20190713,Error
LC08_046033_20190720,Error
LC08_010027_20190724,Error
LC08_010029_20190724,Error
LE07_011031_20190808,Error
LE07_015040_20190820,Error
LC08_021040_20190822,Error
LC08_010027_20190825,Error
LC08_011031_20190901,Error
LC08_048027_20190904,Error
LE07_013034_20190907,Error
LC08_011031_20190917,Error
LE07_013033_20190923,Error
LE07_013034_20190923,Error
LC08_010027_20190926,Error
LE07_048026_20190928,Error
LE07_024040_20191006,Error
LE07_010029_20191020,Error
LC08_046033_20191024,Error
LC08_015040_20191031,Error
LE07_013033_20191110,Error
LE07_013034_20191110,Error
LE07_045034_20191110,Error
LE07_041037_20191114,Error
LE07_024040_20191123,Error
LC08_039032_20191210,Error
LC08_015040_20200103,Error
LC08_042031_20200116,Error
LE07_011030_20200131,Error
LE07_015040_20200212,Error
LC08_011031_20200224,Error
LC08_021040_20200402,Error
LC08_011031_20200412,Error
LE07_010027_20200429,Error
LC08_046033_20200503,Error
LE07_010027_20200515,Error
LC08_016039_20200517,Error
LC08_010029_20200523,Error
LC08_011031_20200530,Error
LE07_047030_20200603,Error
LE07_013033_20200605,Error
LE07_013034_20200605,Error
LC08_010027_20200624,Error
LE07_023027_20200627,Error
LE07_030026_20200628,Error
LE07_046033_20200628,Error
LE07_021027_20200629,Error
LE07_021028_20200629,Error
