SCENE_ID,REASON
LC09_062047_20241029,Cloud/Missing
LC08_063046_20260103,Cloud/Missing
LC08_063047_20241215,Cloud
LC09_063047_20250921,Cloud
LC08_063047_20260103,Cloud
LC09_064045_20240214,Cloud
LC09_064045_20241027,Cloud/Missing
LC08_064045_20250515,Cloud
LC09_064046_20260102,Cloud
LC09_064046_20240129,Cloud
LC09_064046_20241027,Cloud/Missing
LC08_064046_20241104,Cloud/Missing
LC09_064046_20250131,Cloud/Missing
LC08_064046_20260416,Cloud/Missing
LC08_065045_20240924,Cloud
LC08_065045_20260407,Cloud/Missing
LC09_065045_20260415,Cloud/Missing
LC09_066045_20240502,Cloud
LC09_066045_20240619,Cloud/Missing
LC08_066045_20260313,Cloud/Missing
LC08_066045_20251121,Cloud/Missing
