SCENE_ID,REASON
LE07_042033_20180729,Smoke
LE07_042034_20200920,Smoke
LE07_029036_20211201,TOA
LE07_030026_20200628,TOA
LE07_037035_20200629,TOA
LE07_037038_20200629,TOA
LE07_046033_20200628,TOA
LC08_030034_20240530,Check for cloudscore
LC08_030033_20240530,Check for cloudscore
LE07_044027_20220929,Check for cloudscore
LE07_043030_20030929,Check for cloudscore
LE07_042029_20010916,Check for cloudscore
LE07_035033_20000928,Check for cloudscore
LE07_038026_20050408,Check for cloudscore
LE07_034028_20090322,Check for cloudscore
LE07_034027_20091101,Check for cloudscore
LE07_045027_20040321,Check for cloudscore
LE07_043030_20030929,Check for cloudscore
LE07_042030_20020327,Check for cloudscore
LE07_037027_20060303,Check for cloudscore
LE07_034028_20050311,Check for cloudscore
